dt_day,client_id,ab_group,home_view,impressions,clicks,applies,approvals,revenue
2025-04-01,2146,A_control,0,1,0,0,0,0.0
2025-04-01,2150,A_control,1,0,0,0,0,0.0
2025-04-01,2172,A_control,1,0,0,0,0,0.0
2025-04-01,2176,A_control,1,0,0,0,0,0.0
2025-04-01,2178,A_control,1,0,0,0,0,0.0
2025-04-01,2179,A_control,1,0,0,0,0,0.0
2025-04-01,2180,A_control,1,0,0,0,0,0.0
2025-04-01,2185,A_control,0,1,0,0,0,0.0
2025-04-01,2192,A_control,1,0,0,0,0,0.0
2025-04-01,2193,A_control,1,0,0,0,0,0.0
2025-04-01,2200,A_control,0,1,0,0,0,0.0
2025-04-01,2205,A_control,1,0,0,0,0,0.0
2025-04-01,2209,A_control,1,0,0,0,0,0.0
2025-04-01,2213,A_control,1,0,0,0,0,0.0
2025-04-01,2220,A_control,0,1,0,0,0,0.0
2025-04-01,2222,A_control,1,0,0,0,0,0.0
2025-04-01,2227,A_control,1,0,0,0,0,0.0
2025-04-01,2240,A_control,1,1,0,0,0,0.0
2025-04-01,2243,A_control,0,1,0,0,0,0.0
2025-04-01,2244,A_control,0,1,0,0,0,0.0
2025-04-01,2246,A_control,1,0,0,0,0,0.0
2025-04-01,2249,A_control,1,0,0,0,0,0.0
2025-04-01,2250,A_control,1,0,0,0,0,0.0
2025-04-01,2256,A_control,0,1,0,0,0,0.0
2025-04-01,2257,A_control,1,0,0,0,0,0.0
2025-04-01,2259,A_control,1,0,0,0,0,0.0
2025-04-01,2262,A_control,1,0,0,0,0,0.0
2025-04-01,2287,A_control,1,0,0,0,0,0.0
2025-04-01,2288,A_control,1,0,0,0,0,0.0
2025-04-01,2289,A_control,1,0,0,0,0,0.0
2025-04-01,2291,A_control,1,0,0,0,0,0.0
2025-04-01,2296,A_control,1,0,0,0,0,0.0
2025-04-01,2299,A_control,0,1,0,0,0,0.0
2025-04-01,2300,A_control,1,0,0,0,0,0.0
2025-04-01,2301,A_control,1,1,0,0,0,0.0
2025-04-01,2307,A_control,0,1,0,0,0,0.0
2025-04-01,2313,A_control,0,1,0,0,0,0.0
2025-04-01,2317,A_control,0,1,0,0,0,0.0
2025-04-01,2320,A_control,1,0,0,0,0,0.0
2025-04-01,2330,A_control,0,1,0,0,0,0.0
2025-04-01,2355,A_control,0,1,0,0,0,0.0
2025-04-01,2363,A_control,0,1,0,0,0,0.0
2025-04-01,2368,A_control,1,0,0,0,0,0.0
2025-04-01,2370,A_control,1,0,0,0,0,0.0
2025-04-01,2373,A_control,1,0,0,0,0,0.0
2025-04-01,2375,A_control,0,1,0,0,0,0.0
2025-04-01,2376,A_control,1,0,0,0,0,0.0
2025-04-01,2377,A_control,0,1,0,0,0,0.0
2025-04-01,2378,A_control,1,0,0,0,0,0.0
2025-04-01,2380,A_control,1,0,0,0,0,0.0
2025-04-01,2396,A_control,1,0,0,0,0,0.0
2025-04-01,2404,A_control,1,1,0,0,0,0.0
2025-04-01,2413,A_control,1,0,0,0,0,0.0
2025-04-01,2416,A_control,1,0,0,0,0,0.0
2025-04-01,2418,A_control,1,0,0,0,0,0.0
2025-04-01,2424,A_control,1,0,0,0,0,0.0
2025-04-01,2435,A_control,1,1,0,0,0,0.0
2025-04-01,2439,A_control,1,0,0,0,0,0.0
2025-04-01,2440,A_control,0,1,0,0,0,0.0
2025-04-01,2441,A_control,1,0,0,0,0,0.0
2025-04-01,2442,A_control,1,0,0,0,0,0.0
2025-04-01,2445,A_control,1,0,0,0,0,0.0
2025-04-01,2456,A_control,1,0,0,0,0,0.0
2025-04-01,2457,A_control,1,0,0,0,0,0.0
2025-04-01,2460,A_control,1,1,0,0,0,0.0
2025-04-01,2468,A_control,1,0,0,0,0,0.0
2025-04-01,2472,A_control,1,0,0,0,0,0.0
2025-04-01,2484,A_control,0,1,0,0,0,0.0
2025-04-01,2485,A_control,0,1,0,0,0,0.0
2025-04-01,2495,A_control,1,0,0,0,0,0.0
2025-04-01,2497,A_control,1,0,0,0,0,0.0
2025-04-01,2508,A_control,1,0,0,0,0,0.0
2025-04-01,2509,A_control,1,1,0,0,0,0.0
2025-04-01,2516,A_control,0,1,0,0,0,0.0
2025-04-01,2529,A_control,0,1,0,0,0,0.0
2025-04-01,2530,A_control,0,1,0,0,0,0.0
2025-04-01,2531,A_control,1,0,0,0,0,0.0
