dt,client_id,ab_group,event_type,offer_id,value
2025-04-06 19:06:46,2000,A_control,home_view,,
2025-04-05 12:08:14,2001,A_control,home_view,,
2025-04-01 19:09:41,2002,A_control,home_view,,
2025-04-02 04:27:17,2002,A_control,offer_impression,credit_of_day,
2025-04-03 13:37:09,2002,A_control,offer_click,credit_of_day,
2025-04-05 23:49:46,2003,A_control,home_view,,
2025-04-01 08:07:03,2003,A_control,offer_impression,credit_of_day,
2025-04-03 08:34:59,2004,A_control,home_view,,
2025-04-03 18:23:24,2005,A_control,home_view,,
2025-04-06 14:04:12,2006,B_test,home_view,,
2025-04-01 08:55:17,2006,B_test,offer_impression,credit_of_day,
2025-04-03 12:38:09,2007,A_control,home_view,,
2025-04-01 09:25:59,2007,A_control,offer_impression,credit_of_day,
2025-04-02 15:38:44,2007,A_control,offer_click,credit_of_day,
2025-04-05 11:10:34,2007,A_control,offer_apply,credit_of_day,
2025-04-06 14:09:52,2007,A_control,offer_approved,credit_of_day,
2025-04-06 08:58:23,2007,A_control,revenue,credit_of_day,39.43
2025-04-04 22:24:16,2008,A_control,home_view,,
2025-04-05 20:15:26,2009,B_test,home_view,,
2025-04-01 08:17:16,2010,B_test,home_view,,
2025-04-05 04:16:27,2011,A_control,home_view,,
2025-04-07 10:43:19,2011,A_control,offer_impression,credit_of_day,
2025-04-04 09:32:20,2012,A_control,home_view,,
2025-04-05 09:09:38,2013,B_test,home_view,,
2025-04-02 18:45:13,2013,B_test,offer_impression,credit_of_day,
2025-04-07 14:55:31,2014,B_test,home_view,,
2025-04-02 19:13:26,2014,B_test,offer_impression,credit_of_day,
2025-04-07 15:34:28,2014,B_test,offer_click,credit_of_day,
2025-04-07 02:18:31,2015,A_control,home_view,,
2025-04-07 05:44:07,2016,B_test,home_view,,
2025-04-01 07:08:12,2016,B_test,offer_impression,credit_of_day,
2025-04-01 09:39:19,2017,B_test,home_view,,
2025-04-03 11:38:30,2017,B_test,offer_impression,credit_of_day,
2025-04-06 09:10:05,2017,B_test,offer_click,credit_of_day,
2025-04-04 03:16:48,2018,A_control,home_view,,
2025-04-06 06:22:38,2019,A_control,home_view,,
2025-04-02 17:26:45,2019,A_control,offer_impression,credit_of_day,
2025-04-04 19:46:29,2020,A_control,home_view,,
2025-04-02 15:45:14,2020,A_control,offer_impression,credit_of_day,
2025-04-05 09:50:16,2021,B_test,home_view,,
2025-04-03 18:45:45,2021,B_test,offer_impression,credit_of_day,
2025-04-03 05:41:29,2022,B_test,home_view,,
2025-04-07 04:32:22,2022,B_test,offer_impression,credit_of_day,
2025-04-06 01:59:13,2022,B_test,offer_click,credit_of_day,
2025-04-07 18:18:36,2022,B_test,offer_apply,credit_of_day,
2025-04-05 06:49:14,2022,B_test,offer_approved,credit_of_day,
2025-04-07 06:25:45,2022,B_test,revenue,credit_of_day,37.67
2025-04-05 11:35:18,2023,B_test,home_view,,
2025-04-04 22:56:32,2023,B_test,offer_impression,credit_of_day,
2025-04-01 19:24:52,2023,B_test,offer_click,credit_of_day,
2025-04-04 17:35:05,2024,A_control,home_view,,
2025-04-06 04:20:08,2025,B_test,home_view,,
2025-04-06 01:32:50,2025,B_test,offer_impression,credit_of_day,
2025-04-04 00:29:11,2026,A_control,home_view,,
2025-04-04 02:58:38,2027,A_control,home_view,,
2025-04-03 19:25:54,2028,B_test,home_view,,
2025-04-03 05:15:09,2029,B_test,home_view,,
2025-04-02 05:38:14,2030,A_control,home_view,,
2025-04-05 06:06:13,2030,A_control,offer_impression,credit_of_day,
2025-04-01 02:06:09,2031,A_control,home_view,,
2025-04-05 01:58:47,2032,A_control,home_view,,
2025-04-04 04:14:36,2033,A_control,home_view,,
2025-04-01 15:49:54,2034,A_control,home_view,,
2025-04-04 10:41:42,2035,B_test,home_view,,
2025-04-04 20:35:57,2035,B_test,offer_impression,credit_of_day,
2025-04-04 08:39:01,2035,B_test,offer_click,credit_of_day,
2025-04-01 15:52:33,2035,B_test,offer_apply,credit_of_day,
2025-04-07 10:47:49,2035,B_test,offer_approved,credit_of_day,
2025-04-06 15:43:33,2035,B_test,revenue,credit_of_day,38.37
2025-04-02 04:54:07,2036,A_control,home_view,,
2025-04-05 20:26:57,2037,B_test,home_view,,
2025-04-01 14:15:41,2038,B_test,home_view,,
2025-04-02 01:42:39,2039,B_test,home_view,,
2025-04-06 23:11:08,2040,B_test,home_view,,
2025-04-02 02:37:45,2040,B_test,offer_impression,credit_of_day,
2025-04-05 02:03:02,2040,B_test,offer_click,credit_of_day,
2025-04-02 13:49:07,2041,A_control,home_view,,
2025-04-04 17:30:24,2042,B_test,home_view,,
2025-04-04 03:02:04,2042,B_test,offer_impression,credit_of_day,
2025-04-06 22:16:20,2042,B_test,offer_click,credit_of_day,
2025-04-04 20:12:50,2042,B_test,offer_apply,credit_of_day,
2025-04-04 02:26:47,2042,B_test,offer_approved,credit_of_day,
2025-04-01 01:56:17,2042,B_test,revenue,credit_of_day,7.05
2025-04-04 16:21:06,2043,B_test,home_view,,
2025-04-03 01:43:06,2044,A_control,home_view,,
2025-04-07 15:09:28,2045,B_test,home_view,,
2025-04-05 07:16:28,2045,B_test,offer_impression,credit_of_day,
2025-04-02 20:35:26,2046,A_control,home_view,,
2025-04-04 05:11:13,2047,A_control,home_view,,
2025-04-07 01:09:30,2047,A_control,offer_impression,credit_of_day,
2025-04-03 05:48:58,2048,B_test,home_view,,
2025-04-02 07:43:33,2048,B_test,offer_impression,credit_of_day,
2025-04-02 18:55:33,2049,B_test,home_view,,
2025-04-04 08:50:23,2049,B_test,offer_impression,credit_of_day,
2025-04-01 16:43:27,2050,A_control,home_view,,
2025-04-05 13:16:24,2051,A_control,home_view,,
2025-04-03 12:45:08,2052,A_control,home_view,,
2025-04-02 11:47:06,2052,A_control,offer_impression,credit_of_day,
2025-04-04 12:58:34,2053,B_test,home_view,,
2025-04-01 14:55:46,2053,B_test,offer_impression,credit_of_day,
2025-04-01 06:46:15,2054,A_control,home_view,,
2025-04-02 19:09:14,2054,A_control,offer_impression,credit_of_day,
2025-04-02 12:44:48,2055,A_control,home_view,,
2025-04-01 02:49:35,2056,A_control,home_view,,
2025-04-02 20:47:40,2056,A_control,offer_impression,credit_of_day,
2025-04-02 03:56:26,2057,A_control,home_view,,
2025-04-07 17:47:41,2058,A_control,home_view,,
2025-04-02 08:33:13,2058,A_control,offer_impression,credit_of_day,
2025-04-04 21:28:28,2058,A_control,offer_click,credit_of_day,
2025-04-05 10:23:11,2058,A_control,offer_apply,credit_of_day,
2025-04-06 00:42:25,2058,A_control,offer_approved,credit_of_day,
2025-04-03 00:39:01,2058,A_control,revenue,credit_of_day,27.33
2025-04-07 17:34:57,2059,B_test,home_view,,
2025-04-03 15:51:02,2059,B_test,offer_impression,credit_of_day,
2025-04-04 17:12:05,2060,A_control,home_view,,
2025-04-02 21:37:49,2060,A_control,offer_impression,credit_of_day,
2025-04-06 06:49:10,2061,B_test,home_view,,
2025-04-03 03:28:01,2061,B_test,offer_impression,credit_of_day,
2025-04-03 07:58:24,2062,A_control,home_view,,
